new_dates,dates
2018.12.27,3
2018.12.28,8
2018.12.29,6
2018.12.30,1
2018.12.31,1
2019.01.01,11
2019.01.02,4
2019.01.03,6
2019.01.04,5
2019.01.05,5
2019.01.06,6
2019.01.07,6
2019.01.08,4
2019.01.09,9
2019.01.10,4
2019.01.11,3
2019.01.12,3
2019.01.13,5
2019.01.14,5
2019.01.15,6
2019.01.16,5
2019.01.17,9
2019.01.18,3
2019.01.19,2
2019.01.20,3
2019.01.21,4
2019.01.22,5
2019.01.23,6
2019.01.24,7
2019.01.25,2
2019.01.26,2
2019.01.27,3
2019.01.28,5
2019.01.29,5
2019.01.30,6
2019.01.31,6
2019.02.01,5
2019.02.02,9
2019.02.03,2
2019.02.04,4
2019.02.05,1
2019.02.06,4
2019.02.07,7
2019.02.08,3
2019.02.09,2
2019.02.10,3
2019.02.11,2
2019.02.12,5
2019.02.13,6
2019.02.14,3
2019.02.15,8
2019.02.16,8
2019.02.17,2
2019.02.18,4
2019.02.19,4
2019.02.20,7
2019.02.21,2
2019.02.22,5
2019.02.23,4
2019.02.24,3
2019.02.25,2
2019.02.26,6
2019.02.27,8
2019.02.28,10
2019.03.01,1
2019.03.02,4
2019.03.03,4
2019.03.04,4
2019.03.05,7
2019.03.06,7
2019.03.07,8
2019.03.08,8
2019.03.09,4
2019.03.10,2
2019.03.11,6
2019.03.12,5
2019.03.13,10
2019.03.14,5
2019.03.15,5
2019.03.16,7
2019.03.17,1
2019.03.18,7
2019.03.19,6
2019.03.20,10
2019.03.21,8
2019.03.22,8
2019.03.23,7
2019.03.24,6
2019.03.25,9
2019.03.26,7
2019.03.27,4
2019.03.28,19
2019.03.29,9
2019.03.30,5
2019.03.31,3
2019.04.01,7
2019.04.02,6
2019.04.03,9
2019.04.04,7
2019.04.05,6
2019.04.06,6
2019.04.07,2
2019.04.08,12
2019.04.09,11
2019.04.10,7
2019.04.11,12
2019.04.12,6
2019.04.13,6
2019.04.14,3
2019.04.15,18
2019.04.16,7
2019.04.17,17
2019.04.18,11
2019.04.19,11
2019.04.20,2
2019.04.21,2
2019.04.22,6
2019.04.23,7
2019.04.24,13
2019.04.25,12
2019.04.26,13
2019.04.27,4
2019.04.28,1
2019.04.29,12
2019.04.30,15
2019.05.01,6
2019.05.02,10
2019.05.03,12
2019.05.04,5
2019.05.05,5
2019.05.06,5
2019.05.07,12
2019.05.08,8
2019.05.09,21
2019.05.10,9
2019.05.11,7
2019.05.12,3
2019.05.13,14
2019.05.14,6
2019.05.15,15
2019.05.16,5
2019.05.17,7
2019.05.18,2
2019.05.19,3
2019.05.20,5
2019.05.21,3
2019.05.22,6
2019.05.23,14
2019.05.24,10
2019.05.25,4
2019.05.26,5
2019.05.27,10
2019.05.28,7
2019.05.29,7
2019.05.30,14
2019.05.31,13
2019.06.01,6
2019.06.02,7
2019.06.03,7
2019.06.04,10
2019.06.05,3
2019.06.06,6
2019.06.07,4
2019.06.08,4
2019.06.09,4
2019.06.10,13
2019.06.11,8
2019.06.12,9
2019.06.13,9
2019.06.14,3
2019.06.15,3
2019.06.16,3
2019.06.17,3
2019.06.18,9
2019.06.19,5
2019.06.20,8
2019.06.21,6
2019.06.22,2
2019.06.23,3
2019.06.24,3
2019.06.25,6
2019.06.26,2
2019.06.27,8
2019.06.28,9
2019.06.29,2
2019.06.30,7
2019.07.01,2
2019.07.02,5
2019.07.03,9
2019.07.04,7
2019.07.05,3
2019.07.06,1
2019.07.07,2
2019.07.08,14
2019.07.09,11
2019.07.10,5
2019.07.11,5
2019.07.12,2
2019.07.14,2
2019.07.15,4
2019.07.16,8
2019.07.17,4
2019.07.18,7
2019.07.19,6
2019.07.20,3
2019.07.21,1
2019.07.22,1
2019.07.23,6
2019.07.24,6
2019.07.25,11
2019.07.26,10
2019.07.27,5
2019.07.28,2
2019.07.29,11
2019.07.30,5
2019.07.31,10
2019.08.01,6
2019.08.02,12
2019.08.03,2
2019.08.05,14
2019.08.06,23
2019.08.07,8
2019.08.08,10
2019.08.09,11
2019.08.10,2
2019.08.12,2
2019.08.13,8
2019.08.14,7
2019.08.15,5
2019.08.16,10
2019.08.17,3
2019.08.18,6
2019.08.19,4
2019.08.20,3
2019.08.21,6
2019.08.22,6
2019.08.23,3
2019.08.24,5
2019.08.25,4
2019.08.26,8
2019.08.27,1
2019.08.28,7
2019.08.29,4
2019.08.30,4
2019.08.31,2
2019.09.01,6
2019.09.02,6
2019.09.03,4
2019.09.04,10
2019.09.05,3
2019.09.06,4
2019.09.07,6
2019.09.08,1
2019.09.09,5
2019.09.10,8
2019.09.11,2
2019.09.12,4
2019.09.13,6
2019.09.14,1
2019.09.15,2
2019.09.16,3
2019.09.17,5
2019.09.18,7
2019.09.19,8
2019.09.20,7
2019.09.21,4
2019.09.22,1
2019.09.23,8
2019.09.24,2
2019.09.25,8
2019.09.26,2
2019.09.27,8
2019.09.28,2
2019.09.29,2
2019.09.30,2
2019.10.01,3
2019.10.02,4
2019.10.03,4
2019.10.04,4
2019.10.05,3
2019.10.06,1
2019.10.07,7
2019.10.08,1
2019.10.09,1
2019.10.10,8
2019.10.11,3
2019.10.12,3
2019.10.13,4
2019.10.14,3
2019.10.15,3
2019.10.16,5
2019.10.17,3
2019.10.18,7
2019.10.19,5
2019.10.20,3
2019.10.21,4
2019.10.22,3
2019.10.23,3
2019.10.24,5
2019.10.25,1
2019.10.26,3
2019.10.27,2
2019.10.28,6
2019.10.29,4
2019.10.30,7
2019.10.31,8
2019.11.01,4
2019.11.02,4
2019.11.03,3
2019.11.04,3
2019.11.05,4
2019.11.06,6
2019.11.07,5
2019.11.08,4
2019.11.09,2
2019.11.10,2
2019.11.11,1
2019.11.12,6
2019.11.13,4
2019.11.14,4
2019.11.15,7
2019.11.16,1
2019.11.17,1
2019.11.18,1
2019.11.19,4
2019.11.20,3
2019.11.21,7
2019.11.22,3
2019.11.23,2
2019.11.24,1
2019.11.26,7
2019.11.27,3
2019.11.28,6
2019.11.29,6
2019.11.30,1
2019.12.01,1
2019.12.02,3
2019.12.03,3
2019.12.04,7
2019.12.05,8
2019.12.06,1
2019.12.07,2
2019.12.09,2
2019.12.10,4
2019.12.11,7
2019.12.12,8
2019.12.13,4
2019.12.14,1
2019.12.15,2
2019.12.16,3
2019.12.17,5
2019.12.18,3
2019.12.19,6
2019.12.20,4
2019.12.21,3
2019.12.22,5
2019.12.23,8
2019.12.24,3
2019.12.25,3
2019.12.26,6
2019.12.27,5
2019.12.28,3
2019.12.29,1
2019.12.30,4
2019.12.31,6
2020.01.01,4
2020.01.02,7
2020.01.03,7
2020.01.04,4
2020.01.05,3
2020.01.06,8
2020.01.07,3
2020.01.08,9
2020.01.09,7
2020.01.10,3
2020.01.12,5
2020.01.13,4
2020.01.14,6
2020.01.15,6
2020.01.16,6
2020.01.17,9
2020.01.18,2
2020.01.19,3
2020.01.20,7
2020.01.21,6
2020.01.22,14
2020.01.23,10
2020.01.24,1
2020.01.25,4
2020.01.26,4
2020.01.27,4
2020.01.28,15
2020.01.29,8
2020.01.30,9
2020.01.31,11
2020.02.01,6
2020.02.02,6
2020.02.03,17
2020.02.04,14
2020.02.05,16
2020.02.06,13
2020.02.07,6
2020.02.08,3
2020.02.09,8
2020.02.10,7
2020.02.11,7
2020.02.12,9
2020.02.13,15
2020.02.14,6
2020.02.15,5
2020.02.16,11
2020.02.17,7
2020.02.18,7
2020.02.19,12
2020.02.20,16
2020.02.21,14
2020.02.22,7
2020.02.23,10
2020.02.24,18
2020.02.25,21
2020.02.26,19
2020.02.27,19
2020.02.28,32
2020.02.29,12
2020.03.01,13
2020.03.02,19
2020.03.03,25
2020.03.04,28
2020.03.05,29
2020.03.06,25
2020.03.07,18
2020.03.08,9
2020.03.09,69
2020.03.10,51
2020.03.11,65
2020.03.12,104
2020.03.13,147
2020.03.14,38
2020.03.15,26
2020.03.16,83
2020.03.17,84
2020.03.18,102
2020.03.19,163
2020.03.20,90
2020.03.21,29
2020.03.22,31
2020.03.23,94
2020.03.24,88
2020.03.25,107
2020.03.26,83
2020.03.27,100
2020.03.28,36
2020.03.29,17
2020.03.30,60
2020.03.31,64
2020.04.01,59
2020.04.02,69
2020.04.03,48
2020.04.04,18
2020.04.05,14
2020.04.06,53
2020.04.07,67
2020.04.08,55
2020.04.09,56
2020.04.10,45
2020.04.11,14
2020.04.12,13
2020.04.13,38
2020.04.14,40
2020.04.15,30
2020.04.16,38
2020.04.17,55
2020.04.18,15
2020.04.19,19
2020.04.20,27
2020.04.21,70
2020.04.22,56
2020.04.23,40
2020.04.24,29
2020.04.25,15
2020.04.26,14
2020.04.27,28
2020.04.28,34
2020.04.29,47
2020.04.30,34
2020.05.01,25
2020.05.02,21
2020.05.03,17
2020.05.04,19
2020.05.05,19
2020.05.06,24
2020.05.07,24
2020.05.08,17
2020.05.09,12
2020.05.10,10
2020.05.11,10
2020.05.12,34
2020.05.13,29
2020.05.14,30
2020.05.15,30
2020.05.16,13
2020.05.17,5
2020.05.18,21
2020.05.19,35
2020.05.20,31
2020.05.21,44
2020.05.22,30
2020.05.23,8
2020.05.24,15
2020.05.25,29
2020.05.26,28
2020.05.27,32
2020.05.28,38
2020.05.29,33
2020.05.30,15
2020.05.31,12
2020.06.01,35
2020.06.02,30
2020.06.03,50
2020.06.04,37
2020.06.05,50
2020.06.06,20
2020.06.07,11
2020.06.08,28
2020.06.09,58
2020.06.10,44
2020.06.11,51
2020.06.12,64
2020.06.13,12
2020.06.14,10
2020.06.15,56
2020.06.16,61
2020.06.17,31
2020.06.18,41
2020.06.19,45
2020.06.20,14
2020.06.21,18
2020.06.22,31
2020.06.23,35
2020.06.24,36
2020.06.25,68
2020.06.26,30
2020.06.27,17
2020.06.28,19
2020.06.29,32
2020.06.30,28
2020.07.01,40
2020.07.02,40
2020.07.03,24
2020.07.04,19
2020.07.05,12
2020.07.06,47
2020.07.07,30
2020.07.08,28
2020.07.09,44
2020.07.10,40
2020.07.11,13
2020.07.12,4
2020.07.13,42
2020.07.14,33
2020.07.15,39
2020.07.16,22
2020.07.17,31
2020.07.18,12
2020.07.19,15
2020.07.20,20
2020.07.21,38
2020.07.22,37
2020.07.23,42
2020.07.24,41
2020.07.25,18
2020.07.26,12
2020.07.27,28
2020.07.28,47
2020.07.29,48
2020.07.30,54
2020.07.31,54
2020.08.01,17
2020.08.02,16
2020.08.03,34
2020.08.04,52
2020.08.05,61
2020.08.06,49
2020.08.07,66
2020.08.08,17
2020.08.09,18
2020.08.10,56
2020.08.11,72
2020.08.12,66
2020.08.13,40
2020.08.14,77
2020.08.15,18
2020.08.16,15
2020.08.17,30
2020.08.18,79
2020.08.19,36
2020.08.20,70
2020.08.21,61
2020.08.22,21
2020.08.23,13
2020.08.24,47
2020.08.25,33
2020.08.26,36
2020.08.27,72
2020.08.28,75
2020.08.29,25
2020.08.30,24
2020.08.31,72
2020.09.01,84
2020.09.02,83
2020.09.03,97
2020.09.04,155
